id,url,recipe,average_ratingvalue,kcalories,protein,carbs,fat,saturates,fibre,sugar,salt,binned_serving,step,ingredient,cooktime,preptime,total_time,cate_Dinner,cate_Main.course,cate_Side.dish,cate_Snack,cate_Brunch,cate_Treat,cate_Soup.course,cate_Afternoon.tea,cate_Dessert,cate_Vegetable.course,cate_Supper,cate_Lunch,cate_Breakfast,cate_Cocktails,cate_Drink,cate_Buffet,cate_Starter,cate_Condiment,cate_Canapes,cate_Pasta.course,cate_Fish.Course,country_america,country_asia,country_europe,country_other,level_Easy,level_For the keen cook,level_Moderately easy
1,http://www.bbcgoodfood.com/recipes/panforte-pies,Panforte' pies,4.375,294,18,7,28,16,2,6,0.2,4,174,15,30,15,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,http://www.bbcgoodfood.com/recipes/butter-pie-apples-cheese,‘Butter pie’ with apples & cheese,4.375,429,9,39,26,12,4,5,0.9,3,286,11,90,20,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,http://www.bbcgoodfood.com/recipes/doved-peas,‘Doved’ peas,0,245,14,16,12,6,6,6,2.1,2,93,8,10,5,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4,http://www.bbcgoodfood.com/recipes/11690/10minute-couscous-salad,10-minute couscous salad,4.75,327,13,33,17,5,2,7,0.88,2,164,8,0,10,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,http://www.bbcgoodfood.com/recipes/10386/10minute-pad-thai,10-minute pad Thai,3.977275,494,37,69,10,2,4,9,2.91,2,95,9,5,5,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,http://www.bbcgoodfood.com/recipes/3206/10minute-steak-and-blue-cheese-wrap,10-minute steak & blue cheese wrap,3,686,48,66,28,10,5,12,1.43,1,92,8,10,0,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
7,http://www.bbcgoodfood.com/recipes/1423/10minute-steak-and-noodle-supper,10-minute steak & noodle supper,2.5,546,28,68,20,3,3,9,2.31,2,98,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,http://www.bbcgoodfood.com/recipes/2312/10minute-tortellini,10-minute tortellini,3.75,482,20,8,62,0,4,18,1.5,2,78,5,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
9,http://www.bbcgoodfood.com/recipes/3132/10minute-tunabean-toasts,10-minute tuna-bean toasts,5,109,4,1,13,0,2,6,0.52,4,111,7,0,10,10,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,http://www.bbcgoodfood.com/recipes/2361/10minute-tuna-and-bean-salad,10-minute tuna & bean salad,3.666665,211,16,18,9,1,5,0,1.2,3,164,7,0,10,10,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,http://www.bbcgoodfood.com/recipes/1507/10minute-winter-fruit-compote,10-minute winter fruit compote,4.666665,352,3,89,1,0,3,0,0,3,51,6,5,5,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12,http://www.bbcgoodfood.com/recipes/1304/15minute-chicken-pasta,15-minute chicken pasta,3.367645,531,43,70,11,1,6,0,0.52,3,132,8,15,0,15,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
13,http://www.bbcgoodfood.com/recipes/1382/15minute-mix-and-match-salad,15-minute mix & match salad,0,652,21,30,51,12,13,3,1.04,3,128,10,0,15,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14,http://www.bbcgoodfood.com/recipes/2365/15minute-noodle-supper,15-minute noodle supper,4.208335,663,28,54,39,10,1,0.1,4,3,164,8,0,15,15,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15,http://www.bbcgoodfood.com/recipes/2703/15minute-prawn-curry,15-minute prawn curry,4.642855,293,26,6,19,14,0.5,3,5.4,3,107,8,10,5,15,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16,http://www.bbcgoodfood.com/recipes/2128/15minute-summer-soup,15-minute summer soup,4.684785,100,8,9,4,2,4,0,0.81,3,85,8,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,http://www.bbcgoodfood.com/recipes/2908/20minute-beef-in-red-wine,20-minute beef in red wine,3.142855,619,47,16,37,13,3,13,0.74,1,85,7,15,5,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18,http://www.bbcgoodfood.com/recipes/20-minute-fiorentina-pizzas,20-minute Fiorentina pizzas,4.666665,439,18,8,41,3,6,28,2.9,2,95,6,10,10,20,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19,http://www.bbcgoodfood.com/recipes/3078/20minute-pork-panfry,20-minute pork pan-fry,4.04412,288,30,5,17,4,1,0,0.42,3,137,7,20,0,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,http://www.bbcgoodfood.com/recipes/2549/20minute-rice-supper,20-minute rice supper,3.930555,495,18,68,18,5,1,1,1.48,3,79,8,15,5,20,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
